data\11.gif	-0.37232	-0.27920	-0.35542	-0.47673	-0.43070	-0.39646	-0.32302	-0.09413	0.96259	
data\19.gif	-0.35569	-0.31084	-0.34371	-0.43584	-0.43149	-0.37011	-0.38543	-0.17556	0.99106	
data\8.gif	-0.33546	-0.30977	-0.33626	-0.47333	-0.43403	-0.36903	-0.37064	-0.17917	0.99072	
data\9.gif	-0.35453	-0.29446	-0.35610	-0.45492	-0.42417	-0.36717	-0.36690	-0.19118	0.99133	
data\airplaneGray.bmp	-0.34811	-0.30155	-0.37450	-0.46808	-0.40825	-0.39557	-0.35514	-0.15053	0.98862	
data\baboon.BMP	-0.33435	-0.29579	-0.38163	-0.42590	-0.45121	-0.35444	-0.32114	-0.17809	0.96773	
data\bank.BMP	-0.35505	-0.29142	-0.34821	-0.50811	-0.38672	-0.41992	-0.33330	-0.14414	0.98337	
data\bank1.BMP	-0.33830	-0.26999	-0.31339	-0.43102	-0.35522	-0.40366	-0.37807	-0.10789	0.91656	
data\barbara.png	-0.36705	-0.30875	-0.37604	-0.47536	-0.43059	-0.35685	-0.35012	-0.15576	0.99525	
data\boat.BMP	-0.36490	-0.30753	-0.36036	-0.46984	-0.41887	-0.37836	-0.35869	-0.17082	0.99837	
data\boat.png	-0.34028	-0.30753	-0.35531	-0.46337	-0.43031	-0.36010	-0.36165	-0.19990	0.99451	
data\brain.BMP	-0.35697	-0.29858	-0.36155	-0.48740	-0.41281	-0.39492	-0.34950	-0.16902	0.99885	
data\brain1.BMP	-0.32241	-0.29435	-0.37131	-0.47179	-0.39949	-0.40733	-0.35782	-0.15662	0.98134	
data\bridge.tiff	-0.36253	-0.27807	-0.38650	-0.43357	-0.43649	-0.34068	-0.33138	-0.16776	0.96577	
data\cman.BMP	-0.34241	-0.29662	-0.37482	-0.49081	-0.41688	-0.37710	-0.33513	-0.16728	0.98837	
data\cman1.BMP	-0.32268	-0.33355	-0.39172	-0.44223	-0.40416	-0.36872	-0.38759	-0.12797	0.98046	
data\columbia.tiff	-0.35221	-0.30059	-0.37633	-0.51207	-0.39984	-0.37005	-0.30862	-0.15194	0.97800	
data\couple.bmp	-0.36282	-0.29449	-0.35313	-0.48362	-0.40442	-0.40083	-0.34939	-0.16972	0.99450	
data\crowd.BMP	-0.35307	-0.28721	-0.36731	-0.46882	-0.41882	-0.38835	-0.36888	-0.14485	0.98706	
data\face.BMP	-0.33769	-0.30368	-0.37383	-0.48808	-0.41560	-0.38071	-0.34354	-0.17323	0.99378	
data\face1.BMP	-0.35067	-0.30288	-0.34658	-0.45152	-0.42272	-0.36375	-0.38212	-0.18596	0.99020	
data\Fig0222(c)(crowd).tif	-0.35870	-0.31404	-0.36988	-0.46466	-0.41813	-0.38868	-0.36226	-0.14034	0.99389	
data\fingerprint.png	-0.35361	-0.29788	-0.35636	-0.49108	-0.41375	-0.40406	-0.34836	-0.16039	0.99699	
data\flinstones.png	-0.34751	-0.31531	-0.36210	-0.48486	-0.41440	-0.36774	-0.35621	-0.15822	0.99024	
data\flowr.BMP	-0.31842	-0.29754	-0.34597	-0.45239	-0.40178	-0.34924	-0.35225	-0.22490	0.96771	
data\girl512.BMP	-0.36837	-0.31213	-0.36750	-0.46334	-0.41940	-0.38764	-0.35816	-0.14889	0.99698	
data\hat.BMP	-0.35666	-0.30540	-0.36410	-0.46855	-0.43514	-0.37801	-0.36169	-0.15450	0.99649	
data\house.png	-0.35176	-0.30181	-0.38640	-0.45918	-0.42370	-0.36011	-0.34529	-0.16066	0.98409	
data\lake.tiff	-0.33124	-0.30012	-0.35545	-0.50048	-0.39700	-0.39942	-0.35767	-0.15619	0.98715	
data\lax.tiff	-0.37300	-0.27472	-0.35283	-0.48982	-0.41130	-0.41966	-0.34561	-0.14363	0.99173	
data\lena256.bmp	-0.35557	-0.30734	-0.39600	-0.45860	-0.38924	-0.39906	-0.34659	-0.13153	0.98233	
data\lena512.bmp	-0.37016	-0.29230	-0.36266	-0.48243	-0.42370	-0.39354	-0.34401	-0.15380	0.99597	
data\loco.BMP	-0.33767	-0.30569	-0.37143	-0.43353	-0.42094	-0.37107	-0.38803	-0.15932	0.98366	
data\man.tiff	-0.37028	-0.29200	-0.37785	-0.47497	-0.41583	-0.38096	-0.33763	-0.16542	0.99328	
data\martha.BMP	-0.32332	-0.29163	-0.32961	-0.49364	-0.41195	-0.35272	-0.32018	-0.22739	0.97052	
data\milkdrop.tiff	-0.35577	-0.28300	-0.32549	-0.47806	-0.40469	-0.41909	-0.37828	-0.14791	0.98528	
data\peppers.bmp	-0.32696	-0.31302	-0.36240	-0.48631	-0.38616	-0.38482	-0.36715	-0.15903	0.98301	
data\reagan.BMP	-0.34203	-0.30848	-0.36307	-0.48059	-0.42148	-0.37742	-0.35130	-0.18250	0.99748	
data\woman1.tiff	-0.34362	-0.29071	-0.36708	-0.44997	-0.39042	-0.38845	-0.35173	-0.12528	0.95528	
data\woman2.tiff	-0.35596	-0.30391	-0.35432	-0.48294	-0.41817	-0.39874	-0.35688	-0.15857	0.99841	
